2020-03-07 05:14:18 	nullroot 	wei592628 	I am null_whoami
2021-01-11 06:39:33 	lengmo 	Shutd0wn 	The ones I use are all from Jiangsu...and Shaanxi
2021-01-11 06:39:38 	lengmo 	Shutd0wn 	What else do I have
2021-01-11 06:40:47 	lengmo 	Shutd0wn 	The resources I use are all signed
2021-01-11 06:41:29 	Shutd0wn 	lengmo 	I'm counting the total. The technical salary is so high and there are bonuses. You have to sign back
2021-01-11 06:41:52 	Shutd0wn 	lengmo 	This is basic
2021-01-11 06:42:01 	lengmo 	Shutd0wn 	Hmm
2021-01-11 06:42:38 	Shutd0wn 	lengmo 	Currently there are far from enough
2021-01-11 06:57:41 	lengmo 	Shutd0wn 	I will do statistics to see which customers use it more
2021-01-11 07:20:13 	lengmo 	Shutd0wn 	I just looked at the technical resources section. The resources I use this year are basically old customers who signed orders last year, as well as new customers who signed orders this year. I will not accept some resource applications that cannot be placed
2021-01-11 07:20:24 	lengmo 	Shutd0wn 	
2021-01-11 09:05:00 	Shutd0wn 	lengmo 	There were many battles, I only remember a few battles
2021-01-11 09:12:36 	lengmo 	Shutd0wn 	The main battle is with the prefectures and cities in Jiangsu that signed the contract and the Shaanxi Provincial Department. When signing the contract, we did promise to build a brand. In addition, in order to save costs, we tried to come back as much as possible and worked in the company. .
2021-01-11 09:19:20 	Shutd0wn 	lengmo 	Input-output ratio
2021-01-11 09:19:30 	Shutd0wn 	lengmo 	Invest so much, sign a little
2021-01-11 09:20:31 	Shutd0wn 	lengmo 	We want to pay everyone a salary for the whole year, not just for the month of the battle
2021-01-11 09:22:21 	lengmo 	Shutd0wn 	You must know this truth. Isn’t it okay every year in Jiangsu? This year, due to the epidemic, 2 projects have been postponed. And there are some things that you can't refuse. Like the Battle of Nanjing this time, you were asked to send people and which company did well and had a high share. It would be a bad idea not to go. Then the Jiangsu Provincial Department is paralyzed and wants to hold a battle. We also saw that we sent people to Nanjing. We obviously have no money... It would be bad not to go
2021-01 -11 09:24:55 	lengmo 	Shutd0wn 	To be honest, the TZ industry seems to have a decent amount of money, but the TZ industry always uses manufacturers to death. The leaders in the department have told me that they know that the TZ industry does not make money, it is all hard-earned money... Let We insist that things will be fine in the future and we will support you
2021-01-11 09:43:24 	Shutd0wn 	lengmo 	Our business requirements are basically even, just a small profit
2021-01-11 09:43:27 	Shutd0wn 	lengmo 	This is not possible now
2021-01-11 09:43:47 	Shutd0wn 	lengmo 	What’s the point?
2021-01-11 09:44:07 	Shutd0wn 	lengmo 	The financial statements show a small profit, but in reality there is no profit at all
2021-01-11 09:44:08 	lengmo 	Shutd0wn 	Isn’t it because of the epidemic this year? We also suffered losses last year?
2021-01-11 09:44:20 	Shutd0wn 	lengmo 	We actually lose money every year
2021-01-11 09:45:16 	Shutd0wn 	lengmo 	The actual loss in 19 years was more than that in 20 years
2021-01-11 09:45:37 	lengmo 	Shutd0wn 	It is true that there are many reasons in the past two years. Decoration and personnel have increased significantly. If we do not increase significantly in 21 and improve personal output and efficiency, 21 will definitely be better than this year
lengmo 	Shutd0wn 	The market is also better than this year
2021-01-11 09:46:14 	lengmo 	Shutd0wn 	This year, basic projects in some places have been stopped, and the projects agreed by the Shaanxi Provincial Department have been postponed to 2021
2021-01-11 09:54:56	Shutd0wn 	lengmo 	In 2019, the Shaanxi project was calculated in advance and the procurement expenditure was not calculated, so as to achieve profitability
2021-01-11 09:55:17 	Shutd0wn 	lengmo 	There are other procurement expenditures that are not included in the cost of 2019
2021-01-11 10:00:29 	lengmo 	Shutd0wn 	20 Losing money is better? How much is the actual loss this year
2021-01-11 10:22:36 	Shutd0wn 	lengmo 	
2021-01-11 10:23:21 	Shutd0wn 	lengmo 	
2021-01-11 10:23:33 	Shutd0wn 	lengmo 	
2021-01-11 10:23:48 	Shutd0wn 	lengmo 	
2021-01-11 10:25:34 	Shutd0wn 	lengmo 	The actual cash flow is -500
2021-01-11 10:25:53 	lengmo 	Shutd0wn 	This year feels more difficult than last year. Calculating it this way, the more than 2 million saved by JG can indeed reduce a lot of burden
2021-01-11 10: 26:44 	lengmo 	Shutd0wn 	21 should be better than this year
2021-01-11 10:32:08 	lengmo 	Shutd0wn 	
2021-01-11 10:32:40 	lengmo 	Shutd0wn 	The gross profit amount from my finance department was checked with Xu Qian today, and it was said to be more than 1,300 W
2021-01-11 10:34:12 	Shutd0wn 	lengmo 	Signed for 20 years?
2021-01-11 10:34:23 	lengmo 	Shutd0wn 	Hmm
2021-01-11 10:34:32 	lengmo 	Shutd0wn 	Finance sent me this afternoon
2021-01-11 10:34:45 	lengmo 	Shutd0wn 	Said I checked with Xu Qian
2021-01-11 10:34:57 	Shutd0wn 	lengmo 	Have you seen it?
2021-01-11 10:35:04 	lengmo 	Shutd0wn 	Looked at the details
2021-01-11 10:35:13 	Shutd0wn 	lengmo 	That is a modified number
2021-01-11 10:36:31 	lengmo 	Shutd0wn 	What is this modification? Procurement costs and third-party costs are included
2021-01-11 10:36:52 	Shutd0wn 	lengmo 	Send me the details
2021-01-11 10:39:36 	Shutd0wn 	lengmo 	Her 20 years refers to the 20 years of financial project acceptance
2021-01-11 10:39:41 	Shutd0wn 	lengmo 	Not a 20-year contract signing project
2021-01-11 10:39:54 	Shutd0wn 	lengmo 	You must not have read the details
2021-01-11 10:40:10 	lengmo 	Shutd0wn 	The decompression password has been sent to you by DingTalk
2021-01-11 10:42:17 	lengmo 	Shutd0wn 	If no invoices were issued in 2019, they are not counted in 2019. Some projects were indeed signed in 2019, and the remaining second tranche of invoices were issued in 2020, but only the first tranche was confirmed in 2019. Shaanxi’s was confirmed in advance
2021-01-11 10:42:18 	Shutd0wn 	lengmo 	You can tell it’s the XLS just by looking at the password, I’ve seen it
2021-01-11 10:48:12 	Shutd0wn 	lengmo 	The financial algorithms are different
2021-01-11 10:48:41 	Shutd0wn 	lengmo 	What she gave was the accounting statistics as of 12.31
2021-01-11 10:48:52 	Shutd0wn 	lengmo 	That’s why it’s profitable
2021-01-11 10:49:34 	Shutd0wn 	lengmo 	Cost expenditure has been postponed
2021-01-11 10:51:35 	lengmo 	Shutd0wn 	Okay
2021-01-11 10:58:23 	Shutd0wn 	lengmo 	Basically the gross profit for 2 and a half years
2021-01-11 11:02:35 	lengmo 	Shutd0wn 	What does it mean? 1300W for two and a half years? Isn't that right? No matter how you calculate it, it is from January 31st to December 31st every year
2021-01-11 11:03:04 	Shutd0wn 	lengmo 	This 1,300 is the total gross profit of all projects
2021-01-11 11:03:18 	Shutd0wn 	lengmo 	The payment span of this project actually spans at least New Years
2021-01-11 11:04:01 	Shutd0wn 	lengmo 	There are 19-year projects, and there are also projects that received the first payment in 20 years. As long as they are listed, the total gross profit of the project will be listed
2021-01-11 11: 04:28 	Shutd0wn 	lengmo 	You cannot collect money repeatedly for the same project
2021-01-11 11:07:45 	lengmo 	Shutd0wn 	But the amount listed is also part of the amount, and the payment is also part of the collection. The confiscated part must be counted in the second year, and some may even be the goods delivered. The cost is counted in 19 years, and the third year will be collected after the acceptance in 20 years. Erbi
2021-01-11 11:08:02 	Shutd0wn 	lengmo 	Listed is the gross profit of the entire contract
2021-01-11 11:08:37 	lengmo 	Shutd0wn 	It means that if the money is confiscated, is it also included?
2021-01-11 11:08:54 	Shutd0wn 	lengmo 	Yes
2021-01-11 11:09:23 	Shutd0wn 	lengmo 	And the 19-year-old is also in it
2021-01-11 11:10:15 	lengmo 	Shutd0wn 	If you calculate it like this and even out the overall calculation, it will be a bit less in the first year. After that, it will be almost the same after every year.
2021-01-11 11:10:42 	lengmo 	Shutd0wn 	This is the average every year
2021-01-11 11:11:05 	lengmo 	Shutd0wn 	Every year there are last year and current year
2021-01-11 11:17:21 	Shutd0wn 	lengmo 	The actual number in 20 years is 400+
2021-01-11 11:26:31 	Shutd0wn 	lengmo 	20-year cash flow income of the management department
2021-01-11 11:26:31 	Shutd0wn 	lengmo 	
2021-01-11 11:27:36 	Shutd0wn 	lengmo 	=N5*(1-F5)*M5 This is the formula
2021-01-11 11:28:04 	lengmo 	Shutd0wn 	There are such complicated formulas
2021-01-12 00:01:35 	lengmo 	Shutd0wn 	Flanker resigned from Pinduoduo, for whom the death knell tolls
2021-01-12 00:08:17 	Shutd0wn 	lengmo 	Public opinion is suppressing pdd again
2021-01-12 00:09:11 	lengmo 	Shutd0wn 	Do you need that shield holder?
2021-01-12 00:09:17 	Shutd0wn 	lengmo 	Use
2021-01-12 00:09:23 	lengmo 	Shutd0wn 	Read the news
2021-01-12 01:49:22 	lengmo 	Shutd0wn 	
2021-01-14 03:39:05 	lengmo 	Shutd0wn 	Is the gross profit of 2 million made by the solution department the same as sales, with commission, right?
2021-01-14 03:48:27 	Shutd0wn 	lengmo 	No, bonuses will be coordinated at the company level
2021-01-14 03:50:29 	lengmo 	Shutd0wn 	There is a problem with this. You can feel it this year. In 2019, Zhou Weiwei still did well and signed a lot. This year, he signed less in 20. He feels that signing more and less has nothing to do with him. If he signs sales, he still has There is a bonus
2021-01-14 04:02:27 	Shutd0wn 	lengmo 	His 200 is not the main force. It is a number assigned based on the training of his team. It is dispensable
2021-01-14 04:02:54	lengmo 	Shutd0wn 	Okay, you decide
2021-01-14 04:15:25 	lengmo 	Shutd0wn 	By the way, I plan to give Shaanxi Internet Security to Mei Yuting. At present, Li Fengwei on the sales side is mainly running JZ Port, and Internet Security is not easy to run, and it is not convenient to do it all
2021-01-14 04:16:30 	Shutd0wn 	lengmo 	Network Security Corps?
2021-01-14 04:17:37 	lengmo 	Shutd0wn 	Shaanxi cities
2021-01-14 04:17:48 	lengmo 	Shutd0wn 	Otherwise she would have no place to run
2021-01-14 04:17:58 	lengmo 	Shutd0wn 	Be a practicing person
2021-01-14 04:18:05 	lengmo 	Shutd0wn 	Shaanxi’s prefectures and cities are poor
2021-01-14 04:19:37 	Shutd0wn 	lengmo 	Who will follow up on your big customers?
2021-01-14 04:20:48 	lengmo 	Shutd0wn 	It's her too. She usually handles the back-end matters in some cities in Jiangsu. The captains have negotiated with me about the previous cooperation
2021-01-14 04 :28:49 	Shutd0wn 	lengmo 	I guess she can’t handle it
2021-01-14 04:30:37 	lengmo 	Shutd0wn 	She is not needed for the delivery, it is all done by the solution department, and she is not needed for the contract, so it should be fine
2021-01-14 04:30:50 	lengmo 	Shutd0wn 	I want her to run and exercise more
2021-01-14 04:31:03 	lengmo 	Shutd0wn 	She just ran away from Internet Security
2021-01-14 04:31:07 	lengmo 	Shutd0wn 	Nothing else
2021-01-14 04:46:13 	Shutd0wn 	lengmo 	Also, Wang Zhe and I will confirm the specific cities and prefectures
2021-01-14 04:46:35 	Shutd0wn 	lengmo 	Wait until they figure out Li Fengwei’s plan for next year
2021-01-14 04:48:39 	lengmo 	Shutd0wn 	Li Fengwei’s main reason is that JZ runs a lot. Mei Yuting has met their deputy captain a few times, so I want her to get in touch with them more. I recommend some cities for her to run around, without asking for a lot of signings, just to get some exercise
2021-01-14 04:51:45 	Shutd0wn 	lengmo 	Yes, does the girl look good?
2021-01-14 04:53:08 	lengmo 	Shutd0wn 	Haven't you seen it before?
2021-01-14 04:53:18 	lengmo 	Shutd0wn 	I just arrived in Changde today
2021-01-14 04:53:25 	Shutd0wn 	lengmo 	Never seen
2021-01-14 04:53:39 	Shutd0wn 	lengmo 	There are a bunch of girls at your door, who knows who they are
2021-01-14 04:54:00 	lengmo 	Shutd0wn 	We need to sign a strategic agreement with the Changde Public Security Bureau. Due to the epidemic, it is expected to be signed after the year
2021-01-14 04:54:19 	lengmo 	Shutd0wn 	Let’s discuss the direction and details of cooperation with their executive deputy director in the afternoon
2021-01-14 04:54:26 	lengmo 	Shutd0wn 	Mei Yuting is still okay
2021-01-14 04:54:37 	lengmo 	Shutd0wn 	Character, ability and drinking are all suitable for police work
2021-01-14 04:56:43 	Shutd0wn 	lengmo 	Get it
2021-01-14 04:59:44 	lengmo 	Shutd0wn 	First earn a reputation and publicize it first
2021-01-14 04:59:51 	lengmo 	Shutd0wn 	I will sign next week if it is not due to the epidemic
2021-01-14 05:01:14 	Shutd0wn 	lengmo 	Hmm
2021-01-14 05:03:36 	lengmo 	Shutd0wn 	It will be shameful if Sichuan does not do well this year
2021-01-14 05:04:36 	lengmo 	Shutd0wn 	I had a drink with the provincial department yesterday. The provincial department plans to hold a competition assessment every quarter this year. In our company
2021-01-14 05:05:15	lengmo 	Shutd0wn 	The assessment ranking will be posted
2021-01-14 05:05:27 	Shutd0wn 	lengmo 	Oh, come and drink with us again
2021-01-14 05:06:12 	lengmo 	Shutd0wn 	I won’t give you any money, but I will give you some hard-earned money
2021-01-14 05:06:30 	lengmo 	Shutd0wn 	But the entire province and cities will stick to us
2021-01-14 05:06:38 	lengmo 	Shutd0wn 	More than 20 cities
2021-01-14 05:39:24 	Shutd0wn 	lengmo 	
2021-01-14 05:39:33 	Shutd0wn 	lengmo 	
2021-01-14 05:41:59 	lengmo 	Shutd0wn 	There are indeed not many rich people in Sichuan, so the provincial department wants to force them to take it seriously. It is estimated that a city applies for the project once every two years
2021-01-14 05:44:03 	Shutd0wn 	lengmo 	No matter how much, we have to occupy the output of this site and take the lion's share
2021-01-14 05:45:44 	lengmo 	Shutd0wn 	Hmm
2021-01-14 05:46:11 	lengmo 	Shutd0wn 	The Sichuan Provincial Department has no choice. The vice president has just taken office and wants to make achievements. Yesterday he also said that he must rely on us
2021-01-14 05:46 :51 	lengmo 	Shutd0wn 	It has also been made clear that the provincial department does not have much money, but if you need help or greetings for anything, just say so directly
2021-01-14 05:47: 47 	Shutd0wn 	lengmo 	Equivalent to opening up the market to An Xun
2021-01-14 05:54:58 	lengmo 	Shutd0wn 	Hmm
2021-01-14 05:55:11 	lengmo 	Shutd0wn 	Still support us
2021-01-15 11:23:45 	lengmo 	Shutd0wn 	
2021-01-15 11:23:58 	lengmo 	Shutd0wn 	Awkward
2021-01-15 11:24:30 	lengmo 	Shutd0wn 	The integration demonstration in Suqian has been done. If the customer wants us to do it, the service must be delivered
2021-01-15 11:32:50	Shutd0wn 	lengmo 	Do it!
2021-01-15 11:33:44 	lengmo 	Shutd0wn 	What do you think we can do about this?
2021-01-15 11:33:55 	lengmo 	Shutd0wn 	Embarrassing
2021-01-18 02:11:07 	Shutd0wn 	lengmo 	
2021-01-18 02:12:21 	Shutd0wn 	lengmo 	Are you from Yancheng?
2021-01-18 02:13:11 	lengmo 	Shutd0wn 	We know each other, we are quite familiar with them
2021-01-18 02:13:16 	lengmo 	Shutd0wn 	Yancheng people
2021-01-18 02:15:46 	lengmo 	Shutd0wn 	What's up
2021-01-18 02:15:59 	Shutd0wn 	lengmo 	No wonder
2021-01-18 02:16:10 	lengmo 	Shutd0wn 	Did you hear him asking people to inquire about how much performance we did in Jiangsu in a year?
2021-01-18 02:16:17 	lengmo 	Shutd0wn 	What happened
2021-01-18 02:27:59 	Shutd0wn 	lengmo 	
2021-01-18 09:03:26 	lengmo 	Shutd0wn 	Yancheng won the bid
2021-01-18 09:03:30 	lengmo 	Shutd0wn 	First order of 2021
2021-01-18 09:12:40 	Shutd0wn 	lengmo 	[Awesome][Awesome][Awesome]
2021-01-18 09:12:53 	Shutd0wn 	lengmo 	I went to have dinner with your fellow villagers
2021-01-18 09:13:00 	lengmo 	Shutd0wn 	You can play with Lin Jiuchuan tonight...
2021-01-18 09:13:06 	lengmo 	Shutd0wn 	It happens to be from Yancheng
2021-01-18 09:13:08 	Shutd0wn 	lengmo 	[Facepalm]
2021-01-18 09:13:13 	lengmo 	Shutd0wn 	Yancheng hometown site won the bid
2021-01-18 09:13:15 	Shutd0wn 	lengmo 	Today's win? How much is the amount
2021-01-18 09:13:26 	lengmo 	Shutd0wn 	Just won
2021-01-18 09:13:31 	lengmo 	Shutd0wn 	Amount 599 W
2021-01-18 09:13:42 	Shutd0wn 	lengmo 	Get it
2021-01-18 09:13:49 	lengmo 	Shutd0wn 	Still very cool
2021-01-18 09:13:53 	lengmo 	Shutd0wn 	Finally done
2021-01-18 10:13:22 	Shutd0wn 	lengmo 	
2021-01-18 10:13:47 	lengmo 	Shutd0wn 	Is Lin Jiuchuan here?
2021-01-18 10:17:09 	Shutd0wn 	lengmo 	Hmm
2021-01-18 10:17:29 	lengmo 	Shutd0wn 	I don’t know how they want to cooperate
2021-01-18 10:17:41 	Shutd0wn 	lengmo 	It should be Juju
2021-01-18 10:18:11 	lengmo 	Shutd0wn 	You didn’t blow it, Yancheng people eat on Yancheng Road, and Yancheng won the bid today
2021-01-18 10:18:26 	Shutd0wn 	lengmo 	[Facepalm]
2021-01-18 10:18:46 	lengmo 	Shutd0wn 	Then I guess the three institutions will be a bit sour, after all, they seem to be under great performance pressure
2021-01-18 10:19:04 	lengmo 	Shutd0wn 	Three places TZ did not do well
2021-01-18 11:07:32 	Shutd0wn 	lengmo 	Your Jiuchuan does have some opinions on us
2021-01-18 11:07:35 	Shutd0wn 	lengmo 	[Emm][Awesome][ThumbsUp]
2021-01-18 11:07:38 	Shutd0wn 	lengmo 	Haha
2021-01-18 11:09:29 	lengmo 	Shutd0wn 	What did you say
2021-01-18 11:09:39 	lengmo 	Shutd0wn 	Say we stole their business
2021-01-18 11:09:58 	Shutd0wn 	lengmo 	Say we did a good job
2021-01-18 11:10:02 	Shutd0wn 	lengmo 	Sour
2021-01-18 11:10:30 	lengmo 	Shutd0wn 	You would say it’s just average
2021-01-18 11:13:17 	lengmo 	Shutd0wn 	In other words, it’s not what we did well, but what you did poorly [LetMeSee]
2021-01-18 11:13:46 	Shutd0wn 	lengmo 	Hahahahahahaha
2021-01-18 12:14:30 	Shutd0wn 	lengmo 	
2021-01-18 12:15:17 	lengmo 	Shutd0wn 	There was no fight
2021-01-18 12:15:33 	lengmo 	Shutd0wn 	Did you say that we just won a 5.99 million project in Yancheng today
2021-01-18 13:25:08 	lengmo 	Shutd0wn 	
2021-01-18 13:25:38 	Shutd0wn 	lengmo 	Who sent it
2021-01-18 13:25:44 	lengmo 	Shutd0wn 	Did Lin Jiuchuan call Liu Zhiyang in the ministry?
2021-01-18 13:25:51 	Shutd0wn 	lengmo 	Yes! ! !
2021-01-18 13:26:00 	Shutd0wn 	lengmo 	I’m not familiar with it either, so I just said a few words
2021-01-18 13:26:02 	lengmo 	Shutd0wn 	Liu Zhiyang sent me a message
2021-01-18 13:26:09 	Shutd0wn 	lengmo 	Hi!
2021-01-18 13:26:19 	lengmo 	Shutd0wn 	They are all together
2021-01-18 13:26:59 	lengmo 	Shutd0wn 	I have drunk Liu Zhiyang several times, and now I am the captain of the 11th Bureau Management Portal in the ministry
2021-01-18 13:28:09 	Shutd0wn 	lengmo 	Well, just do it well, I'm exhausted
2021-01-18 13:28:10 	lengmo 	Shutd0wn 	Lin Jiuchuan, Xin Yichen, Da Fei, Shaanxi Zhang Lixun, He Xing, they are all together
2021-01-18 13:35:53 	Shutd0wn 	lengmo 	
2021-01-18 13:36:45 	lengmo 	Shutd0wn 	As long as there is a plate of peanuts, you will not drink like this
2021-01-18 13:37:01 	Shutd0wn 	lengmo 	[Facepalm]
2021-01-18 14:21:50 	lengmo 	Shutd0wn 	Didn’t you say anything about cooperation?
2021-01-18 14:28:56 	Shutd0wn 	lengmo 	No
2021-01-18 14:29:01 	Shutd0wn 	lengmo 	Hi!
2021-01-18 14:29:11 	Shutd0wn 	lengmo 	Go home and sleep
2021-01-18 14:29:26 	Shutd0wn 	lengmo 	Crying to go to the stars, but they were destroyed
2021-01-18 14:33:45 	lengmo 	Shutd0wn 	Probably drank too much
2021-01-18 14:35:02 	Shutd0wn 	lengmo 	
2021-01-18 14:36:25 	lengmo 	Shutd0wn 	That's for sure, that's why I didn't push this matter, because it wouldn't be of any help to us
2021-01-18 14:37:14 	lengmo 	Shutd0wn 	He said it last time when he was drinking, and I just thought he drank too much. Everyone drank too much and couldn’t take it seriously
2021-01-19 01:37:16	Shutd0wn 	lengmo 	Yesterday Zhang Zhi and Lin Jiuchuan recognized relatives
2021-01-19 01:37:19 	Shutd0wn 	lengmo 	[Facepalm]
2021-01-19 01:37:23 	Shutd0wn 	lengmo 	Real relatives
2021-01-19 01:40:54 	lengmo 	Shutd0wn 	Is his aunt’s third aunt’s mother-in-law’s sister Lin Jiuchuan’s mother?
2021-01-19 01:41:08 	Shutd0wn 	lengmo 	It kind of means that
2021-01-19 01:41:27 	Shutd0wn 	lengmo 	In conclusion, Zhang Zhi is Uncle Lin Jiuchuan
2021-01-19 01:41:34 	lengmo 	Shutd0wn 	[Awkward][Awkward]
2021-01-19 01:41:47 	lengmo 	Shutd0wn 	Also awesome
2021-01-19 01:41:55 	Shutd0wn 	lengmo 	Theoretically, Lin Jiuchuan has to call us uncle
2021-01-19 01:41:57 	Shutd0wn 	lengmo 	[Facepalm]
2021-01-19 01:42:01 	lengmo 	Shutd0wn 	[Awkward]
2021-01-19 01:42:19 	lengmo 	Shutd0wn 	Lin Jiuchuan is under great pressure
2021-01-19 01:42:22 	lengmo 	Shutd0wn 	Not done well
2021-01-19 01:42:42 	Shutd0wn 	lengmo 	21 is said to be the 3e target
2021-01-19 01:42:55 	Shutd0wn 	lengmo 	Less than 1e this year
2021-01-19 01:50:21 	lengmo 	Shutd0wn 	They are all strings, and they charge a handling fee
2021-01-19 01:50:26 	lengmo 	Shutd0wn 	I don’t have any products
2021-01-19 01:51:05 	Shutd0wn 	lengmo 	Hmm
2021-01-19 02:43:41 	lengmo 	Shutd0wn 	
2021-01-19 02:44:46 	Shutd0wn 	lengmo 	[Toasted]
2021-01-19 02:45:55 	lengmo 	Shutd0wn 	I made an appointment with Xiong Daoquan for dinner in the evening
2021-01-19 02:46:12 	lengmo 	Shutd0wn 	Look what Qi Anxin is doing there
2021-01-19 02:49:02 	Shutd0wn 	lengmo 	Who is Xiong Daoquan
2021-01-19 02:49:33 	Shutd0wn 	lengmo 	Oh, from the Nanjing Municipal Bureau
2021-01-19 02:49:47 	lengmo 	Shutd0wn 	Well, political commissar of cyber security, deputy department level
2021-01-19 03:58:34 	Shutd0wn 	lengmo 	
2021-01-19 05:11:58 	lengmo 	Shutd0wn 	[Awkward][Awkward]
2021-01-19 05:12:06 	lengmo 	Shutd0wn 	They are all small drinkers
2021-01-19 10:02:00 	lengmo 	Shutd0wn 	
2021-01-19 10:02:30 	lengmo 	Shutd0wn 	At the second dinner meeting of the Provincial Department, the person from Kexun was dragged away again
2021-01-19 10:02:32 	lengmo 	Shutd0wn 	Awkward
2021-01-19 10:02:43 	lengmo 	Shutd0wn 	Tiantian hopes that we can cooperate with Kexun
2021-01-19 10:08:03 	Shutd0wn 	lengmo 	[Scowl]
2021-01-19 10:10:47 	lengmo 	Shutd0wn 	Always hope that we can cooperate with Xue Hu and others
2021-01-19 10:11:03 	lengmo 	Shutd0wn 	We will compete directly with Xue Hu and others regarding the integration of Suqian soon
2021-01-19 10:11:23 	lengmo 	Shutd0wn 	It’s hard to refuse even this offer on the spot
2021-01-19 10:18:35 	Shutd0wn 	lengmo 	They don’t have TZ service capabilities, it’s a flaw
2021-01-20 00:00:11 	lengmo 	Shutd0wn 	
2021-01-20 00:00:35 	lengmo 	Shutd0wn 	
2021-01-20 00:00:59 	lengmo 	Shutd0wn 	
2021-01-20 00:53:29 	Shutd0wn 	lengmo 	
2021-01-22 03:29:00 	Shutd0wn 	lengmo 	
2021-01-22 03:29:54 	Shutd0wn 	lengmo 	
2021-01-22 03:32:53 	lengmo 	Shutd0wn 	I return to Chengdu today, will be at the company on Monday, and plan to go on a business trip again on Tuesday
2021-01-22 03:33:14 	Shutd0wn 	lengmo 	We can open it together on Monday
2021-01-22 03:33:37 	lengmo 	Shutd0wn 	Hmm
2021-01-22 03:34:07 	Shutd0wn 	lengmo 	
2021-01-22 03:34:17 	Shutd0wn 	lengmo 	
2021-01-22 03:35:46 	lengmo 	Shutd0wn 	The meeting of Sichuan Anxun belongs to all employees of Sichuan Company? I guess it’s too late to open this Monday
2021-01-22 03:36:10 	Shutd0wn 	lengmo 	Well, you can look at the schedule in the second half of the week
2021-01-22 03:36:28 	lengmo 	Shutd0wn 	I plan to come back next Friday too
2021-01-22 03:37:02 	Shutd0wn 	lengmo 	
2021-01-22 03:38:06 	lengmo 	Shutd0wn 	Well, okay
2021-01-22 09:48:11 	Shutd0wn 	lengmo 	What time will you return to Chengdu?
2021-01-22 09:48:22 	lengmo 	Shutd0wn 	Arrived, just got home
2021-01-22 09:49:21 	Shutd0wn 	lengmo 	Forget it, I’ll find someone to taste the wine
2021-01-22 09:49:47 	lengmo 	Shutd0wn 	Come downstairs to our house and call Lao Pan
2021-01-22 09:50:02 	lengmo 	Shutd0wn 	Try our fish hotpot downstairs
2021-01-22 09:50:10 	lengmo 	Shutd0wn 	The environment is not great, but the taste is quite good
2021-01-22 09:50:23 	lengmo 	Shutd0wn 	The new strong-flavored wine is quite delicious
2021-01-22 09:55:31 	Shutd0wn 	lengmo 	Tomorrow
2021-01-22 09:55:44 	Shutd0wn 	lengmo 	I will come over tomorrow
2021-01-22 09:56:11 	lengmo 	Shutd0wn 	Hmm
2021-01-25 10:54:58 	lengmo 	Shutd0wn 	There are a lot of girls
2021-01-25 10:57:27 	Shutd0wn 	lengmo 	Where do you eat
2021-01-25 10:57:43 	lengmo 	Shutd0wn 	Shu Jiuxiang
2021-01-25 10:59:46 	Shutd0wn 	lengmo 	My Arhat Bureau
2021-01-25 10:59:54 	lengmo 	Shutd0wn 	Boring
2021-01-25 11:00:07 	lengmo 	Shutd0wn 	Main Huadong will leave tomorrow, let’s have a meal together
2021-01-25 11:00:15 	lengmo 	Shutd0wn 	We have three beauties here
2021-01-25 12:51:34 	lengmo 	Shutd0wn 	It’s still lively here
2021-01-25 13:11:54 	Shutd0wn 	lengmo 	I finished eating
2021-01-25 13:12:11 	lengmo 	Shutd0wn 	Come and drink
2021-01-25 13:12:23 	lengmo 	Shutd0wn 	The girls in the key account department are so awesome
2021-01-25 13:12:24 	Shutd0wn 	lengmo 	Do you have a second show?
2021-01-25 13:12:32 	lengmo 	Shutd0wn 	So lively
2021-01-25 13:13:08 	lengmo 	Shutd0wn 	4 bottles finished
2021-01-25 13:14:25 	lengmo 	Shutd0wn 	Come quickly
2021-01-25 13:14:37 	lengmo 	Shutd0wn 	The girls in our department are really awesome
2021-01-25 13:14:44 	lengmo 	Shutd0wn 	I drank a lot
2021-01-25 13:15:17 	Shutd0wn 	lengmo 	,,, send me the location
2021-01-25 13:15:41 	lengmo 	Shutd0wn 	Box 6
2021-01-25 13:19:21 	lengmo 	Shutd0wn 	Good news
2021-01-25 13:21:01 	lengmo 	Shutd0wn 	Not lively
2021-01-25 13:21:05 	lengmo 	Shutd0wn 	Are you here?
2021-01-25 13:23:08 	Shutd0wn 	lengmo 	I'm in the car
2021-01-25 13:29:25 	lengmo 	Shutd0wn 	Are you there yet
2021-01-25 17:19:29 	Shutd0wn 	lengmo 	Listen to my arrangements
2021-01-25 17:19:32 	Shutd0wn 	lengmo 	No problem
2021-01-25 17:31:25 	Shutd0wn 	lengmo 	I will handle your matter when I get back tomorrow, don’t worry
2021-01-25 17:49:49 	lengmo 	Shutd0wn 	Okay
2021-01-28 05:08:06 	lengmo 	Shutd0wn 	Little G asked us to send him a product catalog. He said that the Municipal Bureau JZ was going to apply for a project, and there was also an AN S link to apply for trial. Is this normal?
2021-01-28 05:08:19 	lengmo 	Shutd0wn 	Is there anything you should pay attention to
2021-01-28 05:08:26 	lengmo 	Shutd0wn 	After all, it’s a bit messy over there
2021-01-28 05:26:33 	Shutd0wn 	lengmo 	It can be sent
2021-01-28 05:26:45 	Shutd0wn 	lengmo 	Cooperation continues
2021-01-28 05:43:06 	lengmo 	Shutd0wn 	OK
2021-01-28 15:09:00 	lengmo 	Shutd0wn 	At
2021-01-28 23:55:53 	Shutd0wn 	lengmo 	Huh?
